expense_date,expense_type,business_unit,amount,description,date_load
2024-11-01,Software,Marketing,800,Suscripción a herramientas de análisis de datos,2024-11-12
2024-11-02,Personal,Ventas,1500,Salarios del equipo de ventas,2024-11-12
2024-11-03,Logística,Operaciones,300,Gastos de transporte para entregas,2024-11-12
2024-11-04,Infraestructura,Tecnología,1200,Renovación de servidores en la nube,2024-11-12
2024-11-05,Consultoría,Marketing,500,Servicios de consultoría en estrategia digital,2024-11-12
2024-11-06,Capacitación,Recursos Humanos,400,Taller de formación en herramientas CRM,2024-11-12
2024-11-07,Publicidad,Marketing,700,Producción de material promocional,2024-11-12
2024-11-08,Mantenimiento,Operaciones,250,Reparaciones de equipo logístico,2024-11-12
2024-11-09,Software,Marketing,600,Suscripción a plataforma de automatización de marketing,2024-11-12
2024-11-10,Infraestructura,Tecnología,1000,Actualización de sistemas de seguridad,2024-11-12
2024-11-11,Personal,Marketing,1800,Salarios del equipo de marketing,2024-11-12
2024-11-12,Personal,Tecnología,2200,Salarios del equipo de desarrollo de software,2024-11-12
2024-11-13,Personal,Recursos Humanos,1400,Salarios del equipo de reclutamiento,2024-11-12
2024-11-14,Personal,Operaciones,1600,Salarios del equipo de logística,2024-11-12
