ATTRIBUTE_CODE,NAME,SECOND_NAME,HIERARCHICAL_LEVEL,END_DATE
00001,Business Area Top_Level,Area de Negocio Nivel Max.,1,9999-12-31
00002,Business Area Level 2,Area de Negocio Nivel 2,2,9999-12-31
00003,Business Area Level 3,Area de Negocio Nivel 3,3,9999-12-31
00004,Business Area Level 4,Area de Negocio Nivel 4,4,9999-12-31
00005,Business Area Level 5,Area de Negocio Nivel 5,5,9999-12-31
00006,Business Area Level 6,Area de Negocio Nivel 6,6,9999-12-31
00007,Business Area Level 7,Area de Negocio Nivel 7,7,9999-12-31
00008,Business Area Level 8,Area de Negocio Nivel 8,8,9999-12-31
00009,Business Area Level 9,Area de Negocio Nivel 9,9,9999-12-31
00010,Business Area Bottom_Level,Area de Negocio Nivel Min.,10,9999-12-31
